Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:16:42,2019-01-01 18:16:45,3.004s,PASSED
"click(findTestObject(""Object Repository/sell/Page_Chiragh/Page_Chiragh/a_Sell""))",Chrome 71.0.3578.98,,2019-01-01 18:16:45,2019-01-01 18:16:46,0.205s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:16:46,2019-01-01 18:16:49,3.003s,PASSED
"if (verifyElementPresent(findTestObject(""sell/Page_Chiragh/Page_Chiragh/form_Sign In""), 3) == true)",Chrome 71.0.3578.98,,2019-01-01 18:16:49,2019-01-01 18:16:52,3.797s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 18:16:52,2019-01-01 18:16:53,0.821s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:16:53,2019-01-01 18:16:53,0.005s,PASSED
,,,,,,
Test Cases/footer/Buy a property,Chrome 71.0.3578.98,,2019-01-01 18:16:53,2019-01-01 18:17:40,46.616s,FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:16:54,2019-01-01 18:16:56,2.493s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:16:56,2019-01-01 18:17:01,5.265s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 18:17:01,2019-01-01 18:17:02,1.137s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-01-01 18:17:02,2019-01-01 18:17:07,5.003s,PASSED
"click(findTestObject(""Object Repository/Buy a property/Page_Chiragh/a_-Buy a property""))",Chrome 71.0.3578.98,,2019-01-01 18:17:07,2019-01-01 18:17:40,32.405s,FAILED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:17:40,2019-01-01 18:17:40,0.002s,PASSED
,,,,,,
Test Cases/footer/contact us-footer,Chrome 71.0.3578.98,,2019-01-01 18:17:40,2019-01-01 18:18:05,25.026s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:17:40,2019-01-01 18:17:44,3.305s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:17:44,2019-01-01 18:17:57,13.032s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 18:17:57,2019-01-01 18:17:58,1.189s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:17:58,2019-01-01 18:18:01,3.002s,PASSED
"click(findTestObject(""Object Repository/Contact Us-footer/Page_Chiragh/a_-Contact Us""))",Chrome 71.0.3578.98,,2019-01-01 18:18:01,2019-01-01 18:18:01,0.167s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:18:01,2019-01-01 18:18:04,3.003s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Contact Us-footer/Page_Chiragh/div_Headquarter""), 3)",Chrome 71.0.3578.98,,2019-01-01 18:18:04,2019-01-01 18:18:04,0.120s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 18:18:04,2019-01-01 18:18:05,0.810s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:18:05,2019-01-01 18:18:05,0.006s,PASSED
,,,,,,
Test Cases/footer/contact-social links,Chrome 71.0.3578.98,,2019-01-01 18:18:05,2019-01-01 18:18:05,0.240s,FAILED
acceptAlert(),Chrome 71.0.3578.98,,2019-01-01 18:18:05,2019-01-01 18:18:05,0.004s,FAILED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:18:05,2019-01-01 18:18:05,0.000s,PASSED
,,,,,,
Test Cases/footer/Disclaimer-footer,Chrome 71.0.3578.98,,2019-01-01 18:18:05,2019-01-01 18:18:31,25.472s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:18:05,2019-01-01 18:18:08,2.352s,PASSED
