Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:17:45,2018-12-31 13:17:48,3.003s,PASSED
"click(findTestObject(""Object Repository/Disclaimer/Page_Chiragh/a_Disclaimer""))",Chrome 71.0.3578.98,,2018-12-31 13:17:48,2018-12-31 13:17:48,0.151s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:17:48,2018-12-31 13:17:51,3.005s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Disclaimer/Page_Chiragh/div_Disclaimer""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:17:51,2018-12-31 13:17:51,0.079s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:17:51,2018-12-31 13:17:52,0.834s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:17:52,2018-12-31 13:17:52,0.007s,PASSED
,,,,,,
Test Cases/footer/FAQs-footer,Chrome 71.0.3578.98,,2018-12-31 13:17:52,2018-12-31 13:18:20,28.382s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:17:52,2018-12-31 13:17:54,2.289s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2018-12-31 13:17:54,2018-12-31 13:18:12,17.633s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-31 13:18:12,2018-12-31 13:18:13,1.158s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:18:13,2018-12-31 13:18:16,3.003s,PASSED
"click(findTestObject(""Object Repository/FAQs-footer/Page_Chiragh/a_-FAQs""))",Chrome 71.0.3578.98,,2018-12-31 13:18:16,2018-12-31 13:18:16,0.161s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:18:16,2018-12-31 13:18:19,3.002s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/FAQs-footer/Page_Chiragh/div_Frequently Asked Questions""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:18:19,2018-12-31 13:18:19,0.048s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:18:19,2018-12-31 13:18:20,0.826s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:18:20,2018-12-31 13:18:20,0.004s,PASSED
,,,,,,
Test Cases/footer/How it Works-footer,Chrome 71.0.3578.98,,2018-12-31 13:18:20,2018-12-31 13:18:42,21.889s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:18:21,2018-12-31 13:18:23,2.283s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2018-12-31 13:18:23,2018-12-31 13:18:34,11.116s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-31 13:18:34,2018-12-31 13:18:35,1.171s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:18:35,2018-12-31 13:18:38,3.003s,PASSED
"click(findTestObject(""Object Repository/How it Works-footer/Page_Chiragh/a_-How it works""))",Chrome 71.0.3578.98,,2018-12-31 13:18:38,2018-12-31 13:18:38,0.154s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:18:38,2018-12-31 13:18:41,3.003s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/How it Works-footer/Page_Chiragh/img_Seller  Buyer Process_b-im""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:18:41,2018-12-31 13:18:41,0.046s,PASSED
